Titanic
E.T. A földönkívüli
Óz, a csodák csodája
Star Wars IV. rész - Egy új remény
A Gyűrűk Ura: A király visszatér
Hófehérke és a hét törpe
Terminátor 2. - Az ítélet napja
Az oroszlánkirály
A keresztapa
Jézus
Jurassic Park
Az elveszett frigyláda fosztogatói
Harry Potter és a bölcsek köve
A remény rabjai
Schindler listája
A sötét lovag
A Karib-tenger kalózai: A Fekete Gyöngy átka
Cápa
Harcosok klubja
Ponyvaregény
Forrest Gump
Shrek
Transformers
Vissza a jövőbe
Aranypolgár
