Death Note;maps/myanimelist_most_popular_200/9453.jpg
Elfen Lied;maps/anidb/157430.jpg
Fullmetal Alchemist;maps/myanimelist_most_popular_200/75815.jpg
Code Geass: Hangyaku no Lelouch;maps/myanimelist_most_popular_200/50331.jpg
Bleach;maps/myanimelist_most_popular_200/40451.jpg
Cowboy Bebop;maps/myanimelist_most_popular_200/19644.jpg
Naruto;maps/myanimelist_most_popular_200/17405.jpg
Neon Genesis Evangelion;maps/myanimelist_most_popular_200/21418.jpg
Suzumiya Haruhi no Yuuutsu;maps/myanimelist_most_popular_200/75901.jpg
Fullmetal Panic!;maps/anidb/221428.jpg
Code Geass: Hangyaku no Lelouch R2;maps/myanimelist_most_popular_200/9391.jpg
Fate/stay night;maps/myanimelist_most_popular_200/30327.jpg
Fullmetal Alchemist: Brotherhood;maps/myanimelist_most_popular_200/96541.jpg
Black Lagoon;maps/myanimelist_most_popular_200/25596.jpg
Tengen Toppa Gurren Lagann;maps/myanimelist_most_popular_200/5123.jpg
Samurai Champloo;maps/myanimelist_most_popular_200/29134.jpg
Darker than Black: Kuro no Keiyakusha;maps/myanimelist_most_popular_200/19570.jpg
Fullmetal Panic? Fumoffu;maps/anidb/129526.jpg
FLCL;maps/myanimelist_most_popular_200/77356.jpg
Sen to Chihiro no Kamikakushi;maps/myanimelist_most_popular_200/79597.jpg
Claymore;maps/myanimelist_most_popular_200/21834.jpg
Hellsing;maps/myanimelist_most_popular_200/19956.jpg
Bakemonogatari;maps/myanimelist_most_popular_200/75274.jpg
Naruto: Shippuuden;maps/myanimelist_most_popular_200/17407.jpg
Sen to Chihiro no Kamikakushi;maps/myanimelist_most_popular_200/79597.jpg
Ergo Proxy;maps/myanimelist_most_popular_200/6259.jpg
Toradora!;maps/myanimelist_most_popular_200/22128.jpg
Chobits;maps/anidb/224620.jpg
Trigun;maps/myanimelist_most_popular_200/20310.jpg
Black Lagoon: The Second Barrage;maps/anidb/131092.jpg
Great Teacher Onizuka;maps/myanimelist_most_popular_200/11460.jpg
Koukaku Kidoutai Stand Alone Complex;maps/anidb/130667.jpg
Mononoke Hime;maps/myanimelist_most_popular_200/75919.jpg
"Steins;Gate";maps/myanimelist_most_popular_200/73199.jpg
Angel Beats!;maps/myanimelist_most_popular_200/22061.jpg
Shakugan no Shana;maps/myanimelist_most_popular_200/21197.jpg
Fullmetal Panic! The Second Raid;maps/anidb/129527.jpg
One Piece;maps/myanimelist_most_popular_200/73245.jpg
Koukaku Kidoutai;maps/myanimelist_most_popular_200/82594.jpg
Suzumiya Haruhi no Yuuutsu (2009);maps/anidb/196098.jpg
Toki wo Kakeru Shoujo;maps/myanimelist_most_popular_200/2432.jpg
Sword Art Online;maps/myanimelist_most_popular_200/39717.jpg
Ookami to Koushinryou;maps/myanimelist_most_popular_200/59401.jpg
Shingeki no Kyojin;maps/myanimelist_most_popular_200/47347.jpg
Mushishi;maps/myanimelist_most_popular_200/73862.jpg
NHK ni Youkoso!;maps/myanimelist_most_popular_200/52675.jpg
Zero no Tsukaima;maps/myanimelist_most_popular_200/20680.jpg
Higurashi no Naku Koro ni;maps/myanimelist_most_popular_200/19634.jpg
Azumanga Daiou;maps/anidb/221656.jpg
Soul Eater;maps/myanimelist_most_popular_200/7804.jpg
